,loss,precision,recall,binary_accuracy,categorical_accuracy,val_loss,val_precision,val_recall,val_binary_accuracy,val_categorical_accuracy
0,2.2964563369750977,0.0,0.0,0.8999999761581421,0.11142857372760773,2.262685775756836,0.0,0.0,0.8999999761581421,0.2764976918697357
1,2.2043116092681885,1.0,0.0014285714132711291,0.9001428484916687,0.2028571367263794,2.0543570518493652,0.0,0.0,0.8999999761581421,0.4193548262119293
2,1.9301551580429077,0.800000011920929,0.06857142597436905,0.9051428437232971,0.3199999928474426,1.6347264051437378,0.8666666746139526,0.11981566995382309,0.9101382493972778,0.5253456234931946
3,1.643190622329712,0.759036123752594,0.18000000715255737,0.9122856855392456,0.41428571939468384,1.2230639457702637,0.8888888955116272,0.25806450843811035,0.9225806593894958,0.6589861512184143
4,1.3299663066864014,0.7743055820465088,0.31857141852378845,0.9225714206695557,0.5442857146263123,0.8912166357040405,0.9017857313156128,0.46543779969215393,0.9414746761322021,0.7327188849449158
5,1.1279808282852173,0.7780821919441223,0.4057142734527588,0.9290000200271606,0.6028571724891663,0.6403871178627014,0.9602649211883545,0.6682027578353882,0.9640552997589111,0.8294931054115295
6,1.0400172472000122,0.7614457607269287,0.4514285624027252,0.9309999942779541,0.6228571534156799,0.5949209332466125,0.9212121367454529,0.7004608511924744,0.9640552997589111,0.8571428656578064
7,0.8382660746574402,0.8346613645553589,0.5985714197158813,0.9480000138282776,0.7257142663002014,0.45322185754776,0.945652186870575,0.8018433451652527,0.9755760431289673,0.8847926259040833
8,0.7571326494216919,0.8427184224128723,0.6200000047683716,0.9504285454750061,0.7400000095367432,0.427926629781723,0.9278350472450256,0.8294931054115295,0.9764977097511292,0.8801843523979187
9,0.6251423954963684,0.8608247637748718,0.7157142758369446,0.9599999785423279,0.7871428728103638,0.419046014547348,0.9481865167617798,0.843317985534668,0.9797235131263733,0.8847926259040833
10,0.6312341094017029,0.8618307709693909,0.7128571271896362,0.959857165813446,0.7814285755157471,0.3431159555912018,0.9300000071525574,0.8571428656578064,0.97926265001297,0.8986175060272217
11,0.5147857069969177,0.8816666603088379,0.7557142972946167,0.9654285907745361,0.8285714387893677,0.3065890073776245,0.9375,0.8986175060272217,0.9838709831237793,0.921658992767334
12,0.47174084186553955,0.8937197923660278,0.7928571701049805,0.9698571562767029,0.8414285778999329,0.3303169906139374,0.9323671460151672,0.8894008994102478,0.9824884533882141,0.9078341126441956
13,0.4908957779407501,0.8753993511199951,0.7828571200370789,0.9671428799629211,0.8385714292526245,0.2870196998119354,0.9514563083648682,0.9032257795333862,0.9857142567634583,0.921658992767334
14,0.45533281564712524,0.9077669978141785,0.8014285564422607,0.972000002861023,0.8628571629524231,0.31023645401000977,0.9375,0.8986175060272217,0.9838709831237793,0.921658992767334
15,0.4670964777469635,0.8865814805030823,0.7928571701049805,0.9691428542137146,0.845714271068573,0.2814762592315674,0.9371980428695679,0.8940092325210571,0.983410120010376,0.9078341126441956
16,0.3709481358528137,0.9126365184783936,0.8357142806053162,0.9755714535713196,0.8742856979370117,0.25618794560432434,0.9371980428695679,0.8940092325210571,0.983410120010376,0.9170507192611694
17,0.31916186213493347,0.9246153831481934,0.8585714101791382,0.978857159614563,0.895714282989502,0.27452951669692993,0.934883713722229,0.9262672662734985,0.9861751198768616,0.9308755993843079
18,0.30768293142318726,0.9079939723014832,0.8600000143051147,0.9772857427597046,0.881428599357605,0.2969607412815094,0.9386792182922363,0.9170507192611694,0.9857142567634583,0.9354838728904724
19,0.3296763300895691,0.9327073693275452,0.8514285683631897,0.9789999723434448,0.8999999761581421,0.27167192101478577,0.9436619877815247,0.9262672662734985,0.9870967864990234,0.9354838728904724
20,0.3750735819339752,0.9028831720352173,0.8500000238418579,0.975857138633728,0.8799999952316284,0.2568797469139099,0.9483568072319031,0.9308755993843079,0.9880184531211853,0.940092146396637
21,0.2938564717769623,0.9220183491706848,0.8614285588264465,0.978857159614563,0.8928571343421936,0.2896202802658081,0.9295774698257446,0.9124423861503601,0.9843317866325378,0.9262672662734985
